source_attribute;source_label;target_date_dimension;visual_default_granularity;visual_default_label;visual_default_title;day_reuse_enabled;day_reuse_granularity;day_reuse_label;day_reuse_title;metric_granularity;metric_label
account.accountenddate;;account_end_date;SECOND;account_end_date.second;Account End Date;false;;;;SECOND;account_end_date.second
account.accountstartdate;;account_start_date;SECOND;account_start_date.second;Account Start Date;false;;;;SECOND;account_start_date.second
agentstate.agentstateendtime;;dt_agentlogoutdate;SECOND_OF_DAY;dt_agentlogoutdate.secondOfDay;Agent State End Time;true;SECOND;dt_agentlogoutdate.second;Ended;SECOND_OF_DAY;dt_agentlogoutdate.secondOfDay
agentstate.agentstatestarttime;;dt_callstartdate;SECOND_OF_DAY;dt_callstartdate.secondOfDay;Agent State Start Time;true;SECOND;dt_callstartdate.second;Started;SECOND_OF_DAY;dt_callstartdate.secondOfDay
customfieldscripting.lastmodified;;last_modified_date;SECOND;last_modified_date.second;Agent Script Last Modified Date;false;;;;SECOND;last_modified_date.second
segment.ucinteractiontime;;uc_interaction_time;SECOND;uc_interaction_time.second;UC Interaction Time;false;;;;SECOND;uc_interaction_time.second
segment.actualinteractionstarttime;;dt_interactionstart;SECOND_OF_DAY;dt_interactionstart.secondOfDay;Interaction Start Time;true;SECOND;dt_interactionstart.second;Interaction Start;SECOND_OF_DAY;dt_interactionstart.secondOfDay
interactionstarttime.interactionstarthhmm;;dt_interactionstart;MINUTE_OF_DAY;dt_interactionstart.minuteOfDay;Interaction Start Minute;true;MINUTE;dt_interactionstart.minute;Interaction Start Minute;MINUTE_OF_DAY;dt_interactionstart.minuteOfDay
interactionstarttime.interactionstarthour;;dt_interactionstart;HOUR_OF_DAY;dt_interactionstart.hourOfDay;Interaction Start Hour;true;HOUR;dt_interactionstart.hour;Interaction Start Hour;HOUR_OF_DAY;dt_interactionstart.hourOfDay
segment.actualinteractionendtime;;dt_interactionend;SECOND_OF_DAY;dt_interactionend.secondOfDay;Interaction End Time;true;SECOND;dt_interactionend.second;Interaction End;SECOND_OF_DAY;dt_interactionend.secondOfDay
segment.actualsegmentstarttime;;dt_segmentstart;SECOND_OF_DAY;dt_segmentstart.secondOfDay;Segment Start Time;true;SECOND;dt_segmentstart.second;Segment Start;SECOND_OF_DAY;dt_segmentstart.secondOfDay
segment.actualsegmentendtime;;dt_segmentend;SECOND_OF_DAY;dt_segmentend.secondOfDay;Segment End Time;true;SECOND;dt_segmentend.second;Segment End;SECOND_OF_DAY;dt_segmentend.secondOfDay
startedtime.startedhour;;dt_callstartdate;HOUR_OF_DAY;dt_callstartdate.hourOfDay;Started Hour;true;HOUR;dt_callstartdate.hour;Started Hour;HOUR_OF_DAY;dt_callstartdate.hourOfDay
segmentlead.leadlastpassdts;;lead_last_pass_dts;SECOND;lead_last_pass_dts.second;Lead Last Pass Date;false;;;;SECOND;lead_last_pass_dts.second
segmentlead.leadstatedts;;lead_state_dts;SECOND;lead_state_dts.second;Lead State Date;false;;;;SECOND;lead_state_dts.second
segmentlead.leadloadeddts;;lead_loaded_dts;SECOND;lead_loaded_dts.second;Lead Loaded Date;false;;;;SECOND;lead_loaded_dts.second
segmentlead.leadnextdialtime;;lead_next_dial_time;SECOND;lead_next_dial_time.second;Lead Next Dial Date;false;;;;SECOND;lead_next_dial_time.second
startedtime.startedhhmm;startedtime.startedhhmm.startedhh;dt_callstartdate;MINUTE_OF_DAY;dt_callstartdate.minuteOfDay;Started Minute;true;MINUTE;dt_callstartdate.minute;Started Minute;MINUTE_OF_DAY;dt_callstartdate.minuteOfDay
segmentendtime.segmentendhhmm;;dt_segmentend;MINUTE_OF_DAY;dt_segmentend.minuteOfDay;Segment End Minute;true;MINUTE;dt_segmentend.minute;Segment End Minute;MINUTE_OF_DAY;dt_segmentend.minuteOfDay
segmentendtime.segmentendhour;;dt_segmentend;HOUR_OF_DAY;dt_segmentend.hourOfDay;Segment End Hour;true;HOUR;dt_segmentend.hour;Segment End Hour;HOUR_OF_DAY;dt_segmentend.hourOfDay
segmentstarttime.segmentstarthhmm;;dt_segmentstart;MINUTE_OF_DAY;dt_segmentstart.minuteOfDay;Segment Start Minute;true;MINUTE;dt_segmentstart.minute;Segment Start Minute;MINUTE_OF_DAY;dt_segmentstart.minuteOfDay
segmentstarttime.segmentstarthour;;dt_segmentstart;HOUR_OF_DAY;dt_segmentstart.hourOfDay;Segment Start Hour;true;HOUR;dt_segmentstart.hour;Segment Start Hour;HOUR_OF_DAY;dt_segmentstart.hourOfDay
interactionendtime.interactionendhhmm;;dt_interactionend;MINUTE_OF_DAY;dt_interactionend.minuteOfDay;Interaction End Minute;true;MINUTE;dt_interactionend.minute;Interaction End Minute;MINUTE_OF_DAY;dt_interactionend.minuteOfDay
interactionendtime.interactionendhour;;dt_interactionend;HOUR_OF_DAY;dt_interactionend.hourOfDay;Interaction End Hour;true;HOUR;dt_interactionend.hour;Interaction End Hour;HOUR_OF_DAY;dt_interactionend.hourOfDay
startedtime.startedquarterhour;;started_quarter_hour;MINUTE_OF_DAY;started_quarter_hour.minuteOfDay;Started Quarter Hour;true;MINUTE;started_quarter_hour.minute;Started Quarter Hour;MINUTE_OF_DAY;started_quarter_hour.minuteOfDay
segmentendtime.segmentendquarterhour;;segment_end_quarter_hour;MINUTE_OF_DAY;segment_end_quarter_hour.minuteOfDay;Segment End Quarter Hour;true;MINUTE;segment_end_quarter_hour.minute;Segment End Quarter Hour;MINUTE_OF_DAY;segment_end_quarter_hour.minuteOfDay
segmentstarttime.segmentstartquarterhour;;segment_start_quarter_hour;MINUTE_OF_DAY;segment_start_quarter_hour.minuteOfDay;Segment Start Quarter Hour;true;MINUTE;segment_start_quarter_hour.minute;Segment Start Quarter Hour;MINUTE_OF_DAY;segment_start_quarter_hour.minuteOfDay
interactionendtime.interactionendquarterhour;;interaction_end_quarter_hour;MINUTE_OF_DAY;interaction_end_quarter_hour.minuteOfDay;Interaction End Quarter Hour;true;MINUTE;interaction_end_quarter_hour.minute;Interaction End Quarter Hour;MINUTE_OF_DAY;interaction_end_quarter_hour.minuteOfDay
interactionstarttime.interactionstartquarterhour;;interaction_start_quarter_hour;MINUTE_OF_DAY;interaction_start_quarter_hour.minuteOfDay;Interaction Start Quarter Hour;true;MINUTE;interaction_start_quarter_hour.minute;Interaction Start Quarter Hour;MINUTE_OF_DAY;interaction_start_quarter_hour.minuteOfDay
startedtime.startedhalfhour;;started_half_hour;MINUTE_OF_DAY;started_half_hour.minuteOfDay;Started Half Hour;true;MINUTE;started_half_hour.minute;Started Half Hour;MINUTE_OF_DAY;started_half_hour.minuteOfDay
segmentendtime.segmentendhalfhour;;segment_end_half_hour;MINUTE_OF_DAY;segment_end_half_hour.minuteOfDay;Segment End Half Hour;true;MINUTE;segment_end_half_hour.minute;Segment End Half Hour;MINUTE_OF_DAY;segment_end_half_hour.minuteOfDay
segmentstarttime.segmentstarthalfhour;;segment_start_half_hour;MINUTE_OF_DAY;segment_start_half_hour.minuteOfDay;Segment Start Half Hour;true;MINUTE;segment_start_half_hour.minute;Segment Start Half Hour;MINUTE_OF_DAY;segment_start_half_hour.minuteOfDay
interactionendtime.interactionendhalfhour;;interaction_end_half_hour;MINUTE_OF_DAY;interaction_end_half_hour.minuteOfDay;Interaction End Half Hour;true;MINUTE;interaction_end_half_hour.minute;Interaction End Half Hour;MINUTE_OF_DAY;interaction_end_half_hour.minuteOfDay
interactionstarttime.interactionstarthalfhour;;interaction_start_half_hour;MINUTE_OF_DAY;interaction_start_half_hour.minuteOfDay;Interaction Start Half Hour;true;MINUTE;interaction_start_half_hour.minute;Interaction Start Half Hour;MINUTE_OF_DAY;interaction_start_half_hour.minuteOfDay
