source_workspace_id;source_attribute;object_title;legacy_object_id;legacy_object_type;aac_lookup_category
okmeucswhe6y2aev14eildz76of58fmh;account.accountenddate;Account Taxonomy;3841337;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;account.accountenddate;Account Overview;3840343;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;account.accountstartdate;EV Inactive Accounts;3972223;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;account.accountstartdate;Account Taxonomy;3841337;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;account.accountstartdate;Account Overview;3840343;analyticalDashboard;dashboard
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstateendtime;Agent State Change Raw;3840045;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstateendtime;Agent States Transition;3839765;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Digital Non-Working State;3959342;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Agent States Analysis;3962744;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;RNA State;3909776;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Preview State;3980670;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Digital Presented State;3921353;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Training State;3909774;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Agent State Change Raw;3840045;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Offline State;3909777;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Away State;3909783;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Suspect State;3909775;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Transition State;3909773;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Agent States Transition;3839765;visualizationObject;visualization
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Monitoring State;3909778;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Engaged State;3909780;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Digital RNA State;3921354;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Aux-Unavail-Offhook State;3962776;metric;metric
okmeucswhe6y2aev14eildz76of58fmh;agentstate.agentstatestarttime;Lunch State;3909779;metric;metric
